ID,latitude,longitude,Ocean,Realm,Ecoregion,Country_Name,State_Island_Province,City_Town,City_Town_2,City_Town_3,Date,Date2,depth,Average_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean
unitless,degrees_north,degrees_east,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,m,percent,Degrees Celsius,Kelvin,Degree Celsius,Degree Celsius,Degree Celsius,Kelvin,meters per hour,Degree Celsius,Degree Celsius,Degree Celsius,Degree Celsius,Degree Celsius,SSTA per time period,SSTA per time period,SSTA per time period,SSTA per time period,Weeks,Weeks,Weeks,Weeks,Degree Celsius,Degree Celsius,Degree Celsius,Degree Celsius,Degree Celsius,TSA per time period,TSA per time period,TSA per time period,TSA per time period,Weeks,Weeks,Weeks,Weeks
224,-18.8265,-159.7866667,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,9/1/2005,20050901,10,0.5,298.81,299.53,299.91,295.85,304.42,1.28,6,0.99,0.84,0,-3.861111111,3.15,2,4.63,27,5,0,2.78,16.9,1.66,-1.76,1.28,-5.44,3.12,-1.37,0,2.27,12,1,0,1.6,15.54,0.53
225,-18.82,-159.78,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,8/24/2005,20050824,4,0,298.72,299.47,299.91,295.85,304.42,1.28,8,0.94,0.84,0,-3.861111111,3.15,2,4.63,27,5,0,2.78,16.9,1.66,-1.82,1.28,-5.44,3.12,-1.37,0,2.27,12,1,0,1.6,15.54,0.53
226,-18.82,-159.78,Pacific,Eastern Indo-Pacific,"Cook Islands, south-west Pacific",Cook Islands,Aitutaki,Arutanga,,,8/24/2005,20050824,10,1,298.72,299.47,299.91,295.85,304.42,1.28,8,0.94,0.84,0,-3.861111111,3.15,2,4.63,27,5,0,2.78,16.9,1.66,-1.82,1.28,-5.44,3.12,-1.37,0,2.27,12,1,0,1.6,15.54,0.53
227,-18.79791667,147.5206389,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,Wheeler Reef,,7/8/2017,20170708,8,0.5,296.66,297.04,299.19,294.01,304.44,2.06,6,0.42,0.79,0,-2.935555556,2.76,19,5.54,29,5,0,2.89,16.4,1.77,-4.71,2.06,-7.73,2.69,-2.55,6,1.43,6,1,0,1.13,9.46,0.35
228,-18.79744444,147.5199722,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,Wheeler Reef,,7/9/2017,20170709,5,0,296.66,297.04,299.19,294.01,304.44,2.06,6,0.42,0.79,0,-2.935555556,2.76,19,5.54,29,5,0,2.89,16.4,1.77,-4.71,2.06,-7.73,2.69,-2.55,6,1.43,6,1,0,1.13,9.46,0.35
229,-18.79602778,147.5213333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,Wheeler Reef,,7/9/2017,20170709,2,0,296.66,297.04,299.19,294.01,304.44,2.06,6,0.42,0.79,0,-2.935555556,2.76,19,5.54,29,5,0,2.89,16.4,1.77,-4.71,2.06,-7.73,2.69,-2.55,6,1.43,6,1,0,1.13,9.46,0.35
230,-18.79491667,147.5211667,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,Wheeler Reef,,7/8/2017,20170708,4,2.25,296.66,297.04,299.19,294.01,304.44,2.06,6,0.42,0.79,0,-2.935555556,2.76,19,5.54,29,5,0,2.89,16.4,1.77,-4.71,2.06,-7.73,2.69,-2.55,6,1.43,6,1,0,1.13,9.46,0.35
233,-18.68716667,147.0968333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Great Barrier Reef Marine Park,Lodestone Reef,,7/7/2017,20170707,4,0,296.51,297.16,299.19,293.47,304.75,2.2,6,0.77,0.82,0,-3.183333333,2.86,21,6.09,32,6,0,3.07,16.81,2.01,-4.77,2.2,-8.46,2.81,-2.73,7,1.44,7,1,0,1.32,11.14,0.46
270,-17.65686111,177.1081667,Pacific,Central Indo-Pacific,Fiji,Fiji,Mamanuca Islands,Mana Island,,,11/9/2004,20041109,15,0,301.47,301.01,300.88,296.77,304.94,1.5,5,0.36,0.81,0,-3.118888889,2.93,0,5.27,23,5,0,2.73,16.91,1.74,-1.55,1.5,-5.78,2.37,-1.66,0,1.13,5,1,0,0.85,5.75,0.33
271,-17.65677778,177.10825,Pacific,Central Indo-Pacific,Fiji,Fiji,Mamanuca Islands,Mana Island,,,11/9/2004,20041109,3.5,0,301.47,301.01,300.88,296.77,304.94,1.5,5,0.36,0.81,0,-3.118888889,2.93,0,5.27,23,5,0,2.73,16.91,1.74,-1.55,1.5,-5.78,2.37,-1.66,0,1.13,5,1,0,0.85,5.75,0.33
272,-17.65677778,177.10825,Pacific,Central Indo-Pacific,Fiji,Fiji,Mamanuca Islands,Mana Island,,,11/9/2004,20041109,10.5,0,301.47,301.01,300.88,296.77,304.94,1.5,5,0.36,0.81,0,-3.118888889,2.93,0,5.27,23,5,0,2.73,16.91,1.74,-1.55,1.5,-5.78,2.37,-1.66,0,1.13,5,1,0,0.85,5.75,0.33
282,-17.498,-149.7561667,Pacific,Eastern Indo-Pacific,"Society Islands, French Polynesia",French Polynesia,Society Islands,Moorea,Tema'e,,11/18/2017,20171118,2,0,262.15,300.534,300.742,297.326,304.634,1.1,6,-0.014,0.614,0,-2.506,2.79,3.6,2.586,12.8,2,0,1.494,10.944,0.728,-1.46,1.1,-4.666,2.634,-1.242,1.2,1.01,4.2,0,0,0.73,5.25,0.23
283,-17.48486111,-149.8398611,Pacific,Eastern Indo-Pacific,"Society Islands, French Polynesia",French Polynesia,Society Islands,Moorea,Piha'ena,,11/18/2017,20171118,2,0,301.52,299.98,300.77,297.54,304.85,1.11,6,-0.51,0.64,0,-2.907142857,3.1,2,2.77,12,2,0,1.83,13.9,0.92,-2.1,1.11,-4.53,2.76,-1.3,1,1.52,6,0,0,1.12,9.78,0.3
